language,term,CIEL_L,CIEL_a,CIEL_b
Catalan,sino,20.54,-27.43,4.26
Catalan,zeleno,91.08,-12.96,2.42
Catalan,zeleno,81.35,-33.04,4.96
Catalan,zeleno,71.6,-41.54,5.41
Catalan,zeleno,61.7,-51.88,5.51
Catalan,zeleno,51.57,-51.99,4.46
Catalan,zeleno,41.22,-52.68,3.36
Catalan,zeleno,30.77,-39.18,2.14
Catalan,zeleno,20.54,-26.87,1.22
Catalan,rozovo,91.08,-12.69,1.23
Catalan,rozovo,81.35,-32.18,1.81
Catalan,rozovo,71.6,-40.91,1.15
Catalan,rozovo,61.7,-41.11,0.19
Catalan,rozovo,51.57,-51.2,-1.36
Catalan,rozovo,41.22,-41.21,-2.07
Catalan,rozovo,30.77,-29.07,-1.92
Catalan,rozovo,20.54,-17.18,-1.47
Catalan,moravo,91.08,-10.86,-2.13
Catalan,moravo,81.35,-19.64,-4.3
Catalan,moravo,71.6,-27.52,-7.11
Catalan,moravo,61.7,-36.77,-10.9
Catalan,moravo,51.57,-36.19,-11.99
Catalan,moravo,41.22,-36.33,-13.61
Catalan,moravo,30.77,-25.67,-10.89
Catalan,moravo,20.54,-15.07,-7.11
Catalan,sino,91.08,-6.32,-5.08
Catalan,sino,81.35,-13.22,-11.59
Catalan,sino,71.6,-18.37,-18.07
Catalan,sino,61.7,-22.98,-25.73
Catalan,sino,51.57,-21.72,-26.63
Catalan,sino,41.22,-21.08,-28.21
Catalan,sino,30.77,-15.41,-22.0
Catalan,sino,20.54,-9.52,-13.99
Catalan,rozovo,91.08,-3.48,-5.55
Catalan,rozovo,81.35,-6.82,-13.92
Catalan,rozovo,71.6,-12.05,-29.46
Catalan,rozovo,61.7,-13.07,-37.55
Catalan,rozovo,51.57,-11.88,-38.56
Catalan,rozovo,41.22,-10.54,-39.65
Catalan,rozovo,30.77,-7.86,-33.8
Catalan,rozovo,20.54,-5.25,-25.49
Catalan,zeleno,91.08,2.95,-4.85
Catalan,zeleno,81.35,8.19,-12.62
Catalan,zeleno,71.6,13.67,-19.66
Catalan,zeleno,61.7,20.07,-26.92
Catalan,zeleno,51.57,27.4,-33.72
Catalan,zeleno,41.22,29.49,-34.06
Catalan,zeleno,30.77,33.51,-35.69
Catalan,zeleno,20.54,26.82,-27.84
Catalan,sino,91.08,3.36,-4.24
Catalan,sino,81.35,9.68,-11.26
Catalan,sino,71.6,16.13,-17.52
Catalan,sino,61.7,23.29,-23.79
Catalan,sino,51.57,31.24,-29.94
Catalan,sino,41.22,33.08,-30.5
Catalan,sino,30.77,36.9,-32.14
Catalan,sino,20.54,29.26,-25.01
Catalan,sino,91.08,5.04,-1.14
Catalan,sino,81.35,22.62,-5.51
Catalan,sino,71.6,38.97,-10.98
Catalan,sino,61.7,38.67,-11.63
Catalan,sino,51.57,48.98,-15.95
Catalan,sino,41.22,49.84,-17.34
Catalan,sino,30.77,44.87,-16.65
Catalan,sino,20.54,34.44,-14.69
Catalan,zeleno,91.08,5.41,0.74
Catalan,zeleno,81.35,23.82,2.52
Catalan,zeleno,71.6,32.47,2.76
Catalan,zeleno,61.7,49.38,2.78
Catalan,zeleno,51.57,59.69,1.53
Catalan,zeleno,41.22,52.58,-0.05
Catalan,zeleno,30.77,46.93,-2.51
Catalan,zeleno,20.54,35.97,-6.33
Cantonese,lam,91.08,5.53,2.22
Cantonese,lam,81.35,23.67,9.47
Cantonese,lam,71.6,32.18,12.57
Cantonese,lam,61.7,49.42,18.23
Cantonese,lam,51.57,59.36,19.67
Cantonese,lam,41.22,61.4,17.92
Cantonese,lam,30.77,47.34,12.58
Cantonese,lam,20.54,36.82,3.13
Cantonese,lam,91.08,5.51,3.28
Cantonese,lam,81.35,23.18,13.11
Cantonese,lam,71.6,31.7,17.23
Cantonese,lam,61.7,48.53,25.92
Cantonese,lam,51.57,58.01,30.52
Cantonese,lam,41.22,59.5,30.17
Cantonese,lam,30.77,46.08,20.6
Cantonese,lam,20.54,36.64,9.24
Cantonese,hung,91.08,5.54,4.46
Cantonese,hung,81.35,22.67,17.48
Cantonese,hung,71.6,38.22,29.22
Cantonese,hung,61.7,46.38,35.47
Cantonese,hung,51.57,55.76,42.05
Cantonese,hung,41.22,56.6,40.99
Cantonese,hung,30.77,52.68,34.06
Cantonese,hung,20.54,35.15,15.44
Cantonese,uong,91.08,4.3,10.08
Cantonese,uong,81.35,14.87,30.96
Cantonese,uong,71.6,32.89,77.02
Cantonese,uong,61.7,29.38,64.4
Cantonese,uong,51.57,29.45,64.44
Cantonese,uong,41.22,22.15,41.13
Cantonese,uong,30.77,18.18,30.27
Cantonese,uong,20.54,13.28,18.21
Cantonese,tseng,91.08,3.14,12.37
Cantonese,tseng,81.35,14.98,47.04
Cantonese,tseng,71.6,24.12,84.39
Cantonese,tseng,61.7,22.09,71.31
Cantonese,tseng,51.57,19.79,58.75
Cantonese,tseng,41.22,17.04,45.95
Cantonese,tseng,30.77,13.89,33.8
Cantonese,tseng,20.54,10.16,21.44
Cantonese,hung,91.08,1.28,14.41
Cantonese,hung,81.35,15.1,90.21
Cantonese,hung,71.6,15.62,90.72
Cantonese,hung,61.7,14.45,76.93
Cantonese,hung,51.57,13.12,63.99
Cantonese,hung,41.22,9.31,37.8
Cantonese,hung,30.77,9.51,37.16
Cantonese,hung,20.54,3.62,11.09
Cantonese,uong,91.08,-0.46,29.79
Cantonese,uong,81.35,7.28,109.12
Cantonese,uong,71.6,6.22,81.95
Cantonese,uong,61.7,5.87,68.59
Cantonese,uong,51.57,5.33,54.9
Cantonese,uong,41.22,4.42,40.43
Cantonese,uong,30.77,3.1,25.71
Cantonese,uong,20.54,1.58,11.89
Cantonese,uong,91.08,-12.17,45.9
Cantonese,uong,81.35,-17.25,87.99
Cantonese,uong,71.6,-15.98,87.62
Cantonese,uong,61.7,-14.02,73.17
Cantonese,uong,51.57,-11.71,58.46
Cantonese,uong,41.22,-9.31,43.05
Cantonese,uong,30.77,-6.44,26.57
Cantonese,uong,20.54,-3.09,10.75
Cantonese,tsi,91.08,-10.76,13.38
Cantonese,tsi,81.35,-40.58,54.46
Cantonese,tsi,71.6,-40.28,53.23
Cantonese,tsi,61.7,-46.97,64.65
Cantonese,tsi,51.57,-40.14,52.84
Cantonese,tsi,41.22,-33.18,41.15
Cantonese,tsi,30.77,-23.96,27.29
Cantonese,tsi,20.54,-14.85,15.25
Cantonese,fui,91.08,-12.29,10.56
Cantonese,fui,81.35,-38.45,34.02
Cantonese,fui,71.6,-46.7,41.31
Cantonese,fui,61.7,-55.94,49.19
Cantonese,fui,51.57,-56.86,49.22
Cantonese,fui,41.22,-38.39,31.53
Cantonese,fui,30.77,-27.26,20.69
Cantonese,fui,20.54,-16.46,11.28
Cantonese,hung,91.08,-13.13,7.63
Cantonese,hung,81.35,-42.41,23.78
Cantonese,hung,71.6,-51.55,27.69
Cantonese,hung,61.7,-51.58,26.3
Cantonese,hung,51.57,-63.28,28.95
Cantonese,hung,41.22,-53.57,23.28
Cantonese,hung,30.77,-39.23,16.6
Cantonese,hung,20.54,-17.35,7.46
Cantonese,lam,91.08,-13.22,3.82
Cantonese,lam,81.35,-33.63,8.67
Cantonese,lam,71.6,-41.85,9.77
Cantonese,lam,61.7,-52.09,10.63
Cantonese,lam,51.57,-52.69,9.7
Cantonese,lam,41.22,-53.43,8.61
Cantonese,lam,30.77,-49.93,6.94
Cantonese,lam,20.54,-27.43,4.26
Cantonese,tseng,91.08,-12.96,2.42
Cantonese,tseng,81.35,-33.04,4.96
Cantonese,tseng,71.6,-41.54,5.41
Cantonese,tseng,61.7,-51.88,5.51
Cantonese,tseng,51.57,-51.99,4.46
Cantonese,tseng,41.22,-52.68,3.36
Cantonese,tseng,30.77,-39.18,2.14
Cantonese,tseng,20.54,-26.87,1.22
Cantonese,hung,91.08,-12.69,1.23
Cantonese,hung,81.35,-32.18,1.81
Cantonese,hung,71.6,-40.91,1.15
Cantonese,hung,61.7,-41.11,0.19
Cantonese,hung,51.57,-51.2,-1.36
Cantonese,hung,41.22,-41.21,-2.07
Cantonese,hung,30.77,-29.07,-1.92
Cantonese,hung,20.54,-17.18,-1.47
Cantonese,uong,91.08,-11.94,-0.27
Cantonese,uong,81.35,-21.19,-1.35
Cantonese,uong,71.6,-39.21,-4.56
Cantonese,uong,61.7,-39.17,-5.88
Cantonese,uong,51.57,-38.59,-7.0
Cantonese,uong,41.22,-39.09,-8.33
Cantonese,uong,30.77,-27.32,-6.72
Cantonese,uong,20.54,-16.13,-4.67
Cantonese,uong,91.08,-9.69,-3.22
Cantonese,uong,81.35,-18.27,-7.01
Cantonese,uong,71.6,-25.13,-11.03
Cantonese,uong,61.7,-33.16,-16.42
Cantonese,uong,51.57,-32.36,-17.71
Cantonese,uong,41.22,-24.01,-14.24
Cantonese,uong,30.77,-22.84,-15.29
Cantonese,uong,20.54,-13.39,-9.92
Cantonese,lam,91.08,-7.96,-4.41
Cantonese,lam,81.35,-16.44,-9.33
